Periodo;Provincia;TODOS LOS REGIMENES Total Sexo;TODOS LOS REGIMENES Mujer;TODOS LOS REGIMENES Varon;REGIMEN GENERAL Total Sexo;REGIMEN GENERAL Mujer;REGIMEN GENERAL Varon;R.G.(S.E.AGRARIO) Total Sexo;R.G.(S.E.AGRARIO) Mujer;R.G.(S.E.AGRARIO) Varon;R.G.(S.E. EM. HOGAR) Total Sexo;R.G.(S.E. EM. HOGAR) Mujer;R.G.(S.E. EM. HOGAR) Varon;R.E.AUTONOMOS (NO SETA) Total Sexo;R.E.AUTONOMOS (NO SETA) Mujer;R.E.AUTONOMOS (NO SETA) Varon;REG.E. AUTONOMOS (SETA) Total Sexo;REG.E. AUTONOMOS (SETA) Mujer;REG.E. AUTONOMOS (SETA) Varon;R.E.MAR(CUENTA AJENA) Total Sexo;R.E.MAR(CUENTA AJENA) Mujer;R.E.MAR(CUENTA AJENA) Varon;R.E.MAR(C. PROPIA) Total Sexo;R.E.MAR(C. PROPIA) Mujer;R.E.MAR(C. PROPIA) Varon;R.E. MINERIA CARBON Total Sexo;R.E. MINERIA CARBON Mujer;R.E. MINERIA CARBON Varon
201302;21. Huelva;186497.95;90623.85;95873.10;91778.20;42044.30;49733.90;66576.90;38752.70;27824.20;1716.20;1657.50;58.70;22859.40;7715.95;15142.45;1468.20;397.30;1070.90;1800.20;51.10;1749.10;298.85;5.00;293.85;0.00;0.00;0.00
201302;22. Huesca;83642.05;36342.85;47299.20;56761.45;27220.40;29541.05;2615.95;349.35;2266.60;1660.80;1623.20;37.60;18865.35;6264.70;12600.65;3738.50;885.20;2853.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;23. Jaen;214974.95;96349.90;118625.05;107571.70;48865.25;58706.45;67636.35;33020.35;34616.00;2513.50;2420.85;92.65;34672.75;11395.90;23276.85;2580.65;647.55;1933.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;24. Leon;148763.90;70767.70;77994.20;104305.80;52724.45;51579.35;1007.65;228.55;779.10;3609.25;3515.65;93.60;31934.40;11692.85;20241.55;6593.60;2552.40;4041.20;0.00;0.00;0.00;0.00;0.00;0.00;1313.20;53.80;1259.40
201302;25. Lleida;163182.85;72293.35;90889.50;115213.50;55758.95;59454.55;5419.00;698.65;4720.35;2737.80;2636.85;100.95;33115.40;11622.35;21493.05;6696.55;1576.55;5120.00;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.00;0.60
201302;26. Rioja;112866.10;52028.70;60836.40;81346.05;39845.00;41501.05;3070.10;826.85;2243.25;3012.75;2902.65;109.10;21944.10;7714.75;14229.35;3493.10;739.45;2753.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;27. Lugo;114163.30;54662.35;59500.95;70517.80;34657.50;35860.30;1487.00;316.25;1170.75;3507.50;3444.75;62.75;23901.40;8792.05;15109.35;12929.50;7265.90;5663.60;1628.20;77.00;1551.20;191.90;108.90;83.00;0.00;0.00;0.00
201302;28. Madrid;2666046.40;1280720.30;1385307.75;2208314.25;1065356.40;1142949.90;3042.90;564.60;2478.30;103871.75;98424.75;5438.60;346430.35;115682.75;230745.60;1098.60;261.10;837.50;3277.55;423.70;2853.85;0.00;0.00;0.00;11.00;7.00;4.00
201302;29. Malaga;475193.50;227276.15;247916.80;333146.25;162236.65;170909.05;35907.55;21177.55;14730.00;12218.30;11283.65;934.65;91152.00;32063.30;59088.70;1665.70;476.85;1188.85;949.80;34.15;915.65;153.90;4.00;149.90;0.00;0.00;0.00
201302;30. Murcia;476780.15;203726.65;273049.50;310703.55;144003.15;166699.40;64540.55;18026.85;46513.70;12097.30;11647.90;446.40;83315.65;28073.85;55241.80;5116.10;1947.05;3169.05;911.20;27.85;883.35;95.80;0.00;95.80;0.00;0.00;0.00
201302;31. Navarra;245727.05;110431.95;135294.10;188593.60;87156.55;101436.05;4635.90;807.10;3828.80;7632.15;7375.15;257.00;40263.30;13900.05;26363.25;4602.10;1193.10;3409.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;32. Ourense;97230.65;46372.15;50856.50;67830.20;32862.20;34966.00;311.35;53.05;258.30;3394.70;3313.15;81.55;23088.95;8416.40;14672.55;2605.45;1727.35;878.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;33. Asturias;340487.70;160621.55;179863.15;251353.30;120507.45;130844.85;989.50;171.05;818.45;9103.65;8759.15;343.50;64738.90;25569.05;39169.85;9778.35;5297.00;4480.35;1356.30;45.15;1311.15;510.00;63.95;446.05;2657.70;208.75;2448.95
201302;34. Palencia;58424.00;24738.05;33685.95;42127.70;19449.40;22678.30;967.50;96.50;871.00;1054.00;1031.75;22.25;11409.45;3701.20;7708.25;2820.25;457.20;2363.05;0.00;0.00;0.00;0.00;0.00;0.00;45.10;2.00;43.10
